"Open.Houses","Photo","MLS","AR","Type","S","Address","City","BR","Baths.FTHQ.","SqFt","LP...SqFt","LP","SP","HOD","Lot.Sz","YB","DOM","X..of.Units","Change.Date","latitude","longitude","unit_count","Units_used","Pred_Unit_Rent","GPR_Monthly","EGI_Monthly","EGI_Annual","Expense_Size_Band","Expense_Size_Multiplier","Est_Expense_per_Unit_Annual","Annual_Expenses_Total","NOI_Monthly","NOI_Annual","Price_Used","Cap_Rate","Cap_Rate_Pct","Vacancy_Assumed","Benchmark_Base_perUnit_Annual","Benchmark_Notes","Baths","year","month_num","quarter_3m","GRM","CITY_KEY","lat","lon","addr","SP_num","popup_html"
NA,8,"AR22018651MR",487,"INC","S","443  N Cambridge AVE ","CLAREMONT",NA,"2.00 (0 0 0 0)",1665,"$555.56",925000,940000,"","8,080",1952,9,2,2022-04-01,34.0922892,-117.7278481,NA,2,2165.03,4330.06,4113.557,49362.684,"<50",1.18,10030,20060,2441.89033333333,29302.684,940000,0.0311730680851064,3.11730680851064,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2022,4,2,19.0427246622165,"CLAREMONT",34.0922892,-117.7278481,"443  N Cambridge AVE ",940000,"<b>443  N Cambridge AVE </b><br/>SP: $940,000<br/>Date: 2022-04-01<br/># Units: 2<br/>Cap Rate: 3.12%<br/>GRM: 19"
NA,11,"AR23009737MR",1543,"INC","S","425  W Sunkist ST ","ONTARIO",3,"2.00 (0 0 0 0)",1540,"$509.74",785000,780000,"","5,390",1924,17,3,2023-04-02,34.0578163,-117.6550852,NA,3,1608.08,4824.24,4583.028,54996.336,"<50",1.18,10030,30090,2075.528,24906.336,780000,0.0319312,3.19312,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,4,2,14.1827630117032,"ONTARIO",34.0578163,-117.6550852,"425  W Sunkist ST ",780000,"<b>425  W Sunkist ST </b><br/>SP: $780,000<br/>Date: 2023-04-02<br/># Units: 3<br/>Cap Rate: 3.19%<br/>GRM: 14.2"
NA,29,"AR24011306MR",1543,"INC","S","1369  S Euclid AVE ","ONTARIO",2,"1.00 (0 0 0 0)",1059,"$660.06",699000,699000,"","11,820",1939,34,1,2024-03-26,34.0485052,-117.6506633,NA,1,2085.15,2085.15,1980.8925,23770.71,"<50",1.18,10030,10030,1145.05916666667,13740.71,699000,0.0196576680972818,1.96576680972818,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",1,2024,3,1,29.4059369703303,"ONTARIO",34.0485052,-117.6506633,"1369  S Euclid AVE ",699000,"<b>1369  S Euclid AVE </b><br/>SP: $699,000<br/>Date: 2024-03-26<br/># Units: 1<br/>Cap Rate: 1.97%<br/>GRM: 29.4"
NA,NA,"COMP23107192",487,"INC","S","140  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,176",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598,"CLAREMONT",34.0865513,-117.7279985,"140  N MOUNTAIN AVE ",12050000,"<b>140  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 4<br/>Cap Rate: 0.48%<br/>GRM: 123"
NA,NA,"COMP23107223",487,"INC","S","160  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","20,319",1969,0,4,2023-03-06,34.0783732,-117.7279834,NA,4,2126.46,8505.84,8080.548,96966.576,"<50",1.18,10030,40120,4737.21466666667,56846.576,12050000,0.00471755817427386,0.471755817427386,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,124.269624617868,"CLAREMONT",34.0783732,-117.7279834,"160  N MOUNTAIN AVE ",12050000,"<b>160  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 4<br/>Cap Rate: 0.47%<br/>GRM: 124.3"
NA,NA,"COMP23107225",487,"INC","S","110  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","24,062",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2149.45,8597.8,8167.91,98014.92,"<50",1.18,10030,40120,4824.57666666667,57894.92,12050000,0.00480455767634855,0.480455767634855,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.940466614675,"CLAREMONT",34.0865513,-117.7279985,"110  N MOUNTAIN AVE ",12050000,"<b>110  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 4<br/>Cap Rate: 0.48%<br/>GRM: 122.9"
NA,NA,"COMP23107260",487,"INC","S","139  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,106",1969,0,5,2023-03-06,34.0945047,-117.7276918,NA,5,2135.8,10679,10145.05,121740.6,"<50",1.18,10030,50150,5965.88333333333,71590.6,12050000,0.00594112863070539,0.594112863070539,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,98.980948015699,"CLAREMONT",34.0945047,-117.7276918,"139  N CAMBRIDGE AVE ",12050000,"<b>139  N CAMBRIDGE AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 5<br/>Cap Rate: 0.59%<br/>GRM: 99"
NA,NA,"COMP23107284",487,"INC","S","129  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,185",1969,0,5,2023-03-06,34.094399,-117.7276892,NA,5,2135.8,10679,10145.05,121740.6,"<50",1.18,10030,50150,5965.88333333333,71590.6,12050000,0.00594112863070539,0.594112863070539,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,98.980948015699,"CLAREMONT",34.094399,-117.7276892,"129  N CAMBRIDGE AVE ",12050000,"<b>129  N CAMBRIDGE AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 5<br/>Cap Rate: 0.59%<br/>GRM: 99"
NA,NA,"COMP23107290",487,"INC","S","150  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,225",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598,"CLAREMONT",34.0865513,-117.7279985,"150  N MOUNTAIN AVE ",12050000,"<b>150  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 4<br/>Cap Rate: 0.48%<br/>GRM: 123"
NA,NA,"COMP23107293",487,"INC","S","120  N MOUNTAIN AVE ","CLAREMONT",8,"8.00 (8 0 0 0)",3959,"$3,043.70",12050000,12050000,"","16,597",1969,0,4,2023-03-06,34.0865513,-117.7279985,NA,4,2148.58,8594.32,8164.604,97975.248,"<50",1.18,10030,40120,4821.27066666667,57855.248,12050000,0.00480126539419087,0.480126539419087,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,3,1,122.99024749598,"CLAREMONT",34.0865513,-117.7279985,"120  N MOUNTAIN AVE ",12050000,"<b>120  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 4<br/>Cap Rate: 0.48%<br/>GRM: 123"
NA,NA,"COMP23107312",487,"INC","S","109  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","25,586",1969,0,5,2023-03-06,34.0941876,-117.7276903,NA,5,2134.99,10674.95,10141.2025,121694.43,"<50",1.18,10030,50150,5962.03583333333,71544.43,12050000,0.00593729709543568,0.593729709543568,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,99.018500682406,"CLAREMONT",34.0941876,-117.7276903,"109  N CAMBRIDGE AVE ",12050000,"<b>109  N CAMBRIDGE AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 5<br/>Cap Rate: 0.59%<br/>GRM: 99"
NA,NA,"COMP23107350",487,"INC","S","130  N MOUNTAIN AVE ","CLAREMONT",NA," (0 0 0 0)",990,"$12,171.72",12050000,12050000,"","21,622",1969,0,NA,2023-03-06,34.0865513,-117.7279985,NA,1,2217.58,2217.58,2106.701,25280.412,"<50",1.18,10030,10030,1270.86766666667,15250.412,12050000,0.00126559435684647,0.126559435684647,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2023,3,1,476.653624157708,"CLAREMONT",34.0865513,-117.7279985,"130  N MOUNTAIN AVE ",12050000,"<b>130  N MOUNTAIN AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/>Cap Rate: 0.13%<br/>GRM: 476.7"
NA,NA,"COMP23107351",487,"INC","S","119  N CAMBRIDGE AVE ","CLAREMONT",10,"10.00 (10 0 0 0)",4931,"$2,443.72",12050000,12050000,"","19,756",1969,0,5,2023-03-06,34.0942933,-117.7276875,NA,5,2135.21,10676.05,10142.2475,121706.97,"<50",1.18,10030,50150,5963.08083333333,71556.97,12050000,0.0059383377593361,0.59383377593361,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",10,2023,3,1,99.0082983743659,"CLAREMONT",34.0942933,-117.7276875,"119  N CAMBRIDGE AVE ",12050000,"<b>119  N CAMBRIDGE AVE </b><br/>SP: $12,050,000<br/>Date: 2023-03-06<br/># Units: 5<br/>Cap Rate: 0.59%<br/>GRM: 99"
NA,NA,"COMP23113386",487,"INC","S","765   BAYLOR AVE ","CLAREMONT",NA," (0 0 0 0)",7624,"$695.17",5300000,5300000,"","24,582",1955,0,11,2023-03-07,34.0974468,-117.7279959,NA,11,2104.66,23151.26,21993.697,263924.364,"<50",1.18,10030,110330,12799.5303333333,153594.364,5300000,0.0289800686792453,2.89800686792453,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",NA,2023,3,1,20.0815109286386,"CLAREMONT",34.0974468,-117.7279959,"765   BAYLOR AVE ",5300000,"<b>765   BAYLOR AVE </b><br/>SP: $5,300,000<br/>Date: 2023-03-07<br/># Units: 11<br/>Cap Rate: 2.9%<br/>GRM: 20.1"
NA,NA,"COMP23115962",487,"INC","S","755   BAYLOR AVE ","CLAREMONT",6,"5.00 (5 0 0 0)",3806,"$1,392.54",5300000,5300000,"","12,448",1954,0,5,2023-03-07,34.0974506,-117.7281353,NA,5,1938.08,9690.4,9205.88,110470.56,"<50",1.18,10030,50150,5026.71333333333,60320.56,5300000,0.0113812377358491,1.13812377358491,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",5,2023,3,1,47.9765830824068,"CLAREMONT",34.0974506,-117.7281353,"755   BAYLOR AVE ",5300000,"<b>755   BAYLOR AVE </b><br/>SP: $5,300,000<br/>Date: 2023-03-07<br/># Units: 5<br/>Cap Rate: 1.14%<br/>GRM: 48"
NA,NA,"COMP23120987",487,"INC","S","320   STANFORD DR ","CLAREMONT",13,"11.00 (11 0 0 0)",6786,"$442.09",3000000,3000000,"","19,353",1956,0,11,2023-03-07,34.0977656,-117.7215436,NA,11,1916.82,21085.02,20030.769,240369.228,"<50",1.18,10030,110330,10836.6023333333,130039.228,3000000,0.0433464093333333,4.33464093333333,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",11,2023,3,1,12.4807989149094,"CLAREMONT",34.0977656,-117.7215436,"320   STANFORD DR ",3000000,"<b>320   STANFORD DR </b><br/>SP: $3,000,000<br/>Date: 2023-03-07<br/># Units: 11<br/>Cap Rate: 4.33%<br/>GRM: 12.5"
NA,NA,"COMP23125002",487,"INC","S","468  W 7TH ST ","CLAREMONT",4,"3.00 (3 0 0 0)",2366,"$422.65",1000000,1000000,"","7,500",1956,0,2,2023-03-07,34.1005539,-117.7217158,NA,2,2094.15,4188.3,3978.885,47746.62,"<50",1.18,10030,20060,2307.21833333333,27686.62,1000000,0.02768662,2.768662,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2023,3,1,20.943890897408,"CLAREMONT",34.1005539,-117.7217158,"468  W 7TH ST ",1000000,"<b>468  W 7TH ST </b><br/>SP: $1,000,000<br/>Date: 2023-03-07<br/># Units: 2<br/>Cap Rate: 2.77%<br/>GRM: 20.9"
NA,NA,"COMP23126957",487,"INC","S","230  W 11TH ST ","CLAREMONT",4,"3.00 (3 0 0 0)",2126,"$505.64",1075000,1075000,"","7,500",1958,0,2,2023-04-17,34.1043081,-117.7172831,NA,2,2143.1,4286.2,4071.89,48862.68,"<50",1.18,10030,20060,2400.22333333333,28802.68,1075000,0.0267931906976744,2.67931906976744,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2023,4,2,22.0004305944741,"CLAREMONT",34.1043081,-117.7172831,"230  W 11TH ST ",1075000,"<b>230  W 11TH ST </b><br/>SP: $1,075,000<br/>Date: 2023-04-17<br/># Units: 2<br/>Cap Rate: 2.68%<br/>GRM: 22"
NA,NA,"COMP23128838",487,"INC","S","917   ALAMOSA DR ","CLAREMONT",6,"8.00 (8 0 0 0)",7688,"$338.19",2600000,2600000,"","56,038",1992,0,2,2023-07-10,34.1325838,-117.7004239,NA,2,2627.3,5254.6,4991.87,59902.44,"<50",1.18,10030,20060,3320.20333333333,39842.44,2600000,0.0153240153846154,1.53240153846154,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2023,7,3,43.4039080878842,"CLAREMONT",34.1325838,-117.7004239,"917   ALAMOSA DR ",2600000,"<b>917   ALAMOSA DR </b><br/>SP: $2,600,000<br/>Date: 2023-07-10<br/># Units: 2<br/>Cap Rate: 1.53%<br/>GRM: 43.4"
NA,NA,"COMP23129839",487,"INC","S","514   YALE AVE ","CLAREMONT",2,"2.00 (2 0 0 0)",1134,"$1,940.04",2200000,2200000,"","2,434",1957,0,2,2023-09-11,34.0988617,-117.7183034,NA,2,1872.85,3745.7,3558.415,42700.98,"<50",1.18,10030,20060,1886.74833333333,22640.98,2200000,0.0102913545454545,1.02913545454545,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,9,3,51.5210657928694,"CLAREMONT",34.0988617,-117.7183034,"514   YALE AVE ",2200000,"<b>514   YALE AVE </b><br/>SP: $2,200,000<br/>Date: 2023-09-11<br/># Units: 2<br/>Cap Rate: 1.03%<br/>GRM: 51.5"
NA,NA,"COMP23131606",487,"INC","S","628   BLANCHARD PL ","CLAREMONT",3,"2.00 (2 0 0 0)",1456,"$659.34",960000,960000,"","9,472",1950,0,2,2023-12-11,34.096103,-117.7053924,NA,2,1912.92,3825.84,3634.548,43614.576,"<50",1.18,10030,20060,1962.88133333333,23554.576,960000,0.0245360166666667,2.45360166666667,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2023,12,4,22.0109900873506,"CLAREMONT",34.096103,-117.7053924,"628   BLANCHARD PL ",960000,"<b>628   BLANCHARD PL </b><br/>SP: $960,000<br/>Date: 2023-12-11<br/># Units: 2<br/>Cap Rate: 2.45%<br/>GRM: 22"
NA,NA,"COMP24133003",487,"INC","S","1360   OXFORD AVE ","CLAREMONT",24,"32.00 (32 0 0 0)",12798,"$168.78",2160000,2160000,"","26,087",1978,0,12,2024-02-06,34.10895,-117.723608,NA,12,2276.3,27315.6,25949.82,311397.84,"<50",1.18,10030,120360,15919.82,191037.84,2160000,0.0884434444444444,8.84434444444444,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",32,2024,2,1,6.93646429917433,"CLAREMONT",34.10895,-117.723608,"1360   OXFORD AVE ",2160000,"<b>1360   OXFORD AVE </b><br/>SP: $2,160,000<br/>Date: 2024-02-06<br/># Units: 12<br/>Cap Rate: 8.84%<br/>GRM: 6.9"
NA,16,"CV20256088MR",1543,"INC","S","542  E ""E"" ST ","ONTARIO",NA,"3.00 (0 0 0 0)",1904,"$387.87",738500,720000,"$0.00","9,558",1953,122,3,2021-07-02,34.0681728,-117.6450614,NA,3,1797.86,5393.58,5123.901,61486.812,"<50",1.18,10030,30090,2616.401,31396.812,720000,0.0436066833333333,4.36066833333333,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2021,7,3,11.709828117288,"ONTARIO",34.0681728,-117.6450614,"542  E ""E"" ST ",720000,"<b>542  E ""E"" ST </b><br/>SP: $720,000<br/>Date: 2021-07-02<br/># Units: 3<br/>Cap Rate: 4.36%<br/>GRM: 11.7"
NA,53,"CV20262409MR",1543,"INC","S","1672  E Harvard PL ","ONTARIO",NA,"12.00 (0 0 0 0)",14321,"$286.29",4100000,4050000,"$288.00","25,799",2018,117,9,2021-06-01,34.0784587,-117.618199,NA,9,2065.87,18592.83,17663.1885,211958.262,"<50",1.18,10030,90270,10140.6885,121688.262,4050000,0.0300464844444444,3.00464844444444,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",12,2021,6,2,19.1075354260076,"ONTARIO",34.0784587,-117.618199,"1672  E Harvard PL ",4050000,"<b>1672  E Harvard PL </b><br/>SP: $4,050,000<br/>Date: 2021-06-01<br/># Units: 9<br/>Cap Rate: 3%<br/>GRM: 19.1"
NA,18,"CV21006119MR",1543,"INC","S","1006  W E ST #2","ONTARIO",NA,"2.00 (0 0 0 0)",1674,"$316.61",529999,500000,"$0.00","8,845",1956,71,2,2021-06-22,34.0679602,-117.6680094,NA,2,1828.58,3657.16,3474.302,41691.624,"<50",1.18,10030,20060,1802.63533333333,21631.624,500000,0.043263248,4.3263248,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",2,2021,6,2,11.9928165906898,"ONTARIO",34.0679602,-117.6680094,"1006  W E ST #2",500000,"<b>1006  W E ST #2</b><br/>SP: $500,000<br/>Date: 2021-06-22<br/># Units: 2<br/>Cap Rate: 4.33%<br/>GRM: 12"
NA,7,"CV21028495MR",1543,"INC","S","1095  E Nocta ST ","ONTARIO",NA,"3.00 (0 0 0 0)",2312,"$313.58",725000,720000,"$0.00","7,200",1955,124,3,2021-07-03,34.065277,-117.6227191,NA,3,1820.09,5460.27,5187.2565,62247.078,"<50",1.18,10030,30090,2679.7565,32157.078,720000,0.0446626083333333,4.46626083333333,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",3,2021,7,3,11.5668080034215,"ONTARIO",34.065277,-117.6227191,"1095  E Nocta ST ",720000,"<b>1095  E Nocta ST </b><br/>SP: $720,000<br/>Date: 2021-07-03<br/># Units: 3<br/>Cap Rate: 4.47%<br/>GRM: 11.6"
NA,27,"CV21071525MR",1455,"INC","S","10341   Vernon AVE ","MONTCLAIR",NA,"8.00 (0 0 0 0)",4720,"$252.12",1190000,1248000,"","32,438",1938,3,4,2021-05-24,34.0660891,-117.685083,NA,4,1866.75,7467,7093.65,85123.8,"<50",1.18,10030,40120,3750.31666666667,45003.8,1248000,0.0360607371794872,3.60607371794872,0.05,8500,"IE metro per-unit OPEX baseline with size scaling; no city adjustment.",8,2021,5,2,14.6609996264265,"MONTCLAIR",34.0660891,-117.685083,"10341   Vernon AVE ",1248000,"<b>10341   Vernon AVE </b><br/>SP: $1,248,000<br/>Date: 2021-05-24<br/># Units: 4<br/>Cap Rate: 3.61%<br/>GRM: 14.7"
